snomedid|term
P1-C6A00|Anesthesia for endoscopic procedure on lower extremity, NOS
P1-71348|Heminephrectomy
P1-55166|Highly selective vagotomy with pyloroplasty
P1-55166|Parietal cell vagotomy with pyloroplasty
P2-10700|Emergency department patient visit
P2-10700|Emergency department patient visit, NOS
P2-10700|Seen by casualty - service
P2-10700|Seen by accident and emergency - service
P2-10700|Seen by Accident and Emergency service
P1-05511|Closed insertion of therapeutic device
P1-05511|Closed implantation of therapeutic device
P8-51100|Restoration, inlay, metallic
P8-51100|Restoration, inlay, metallic, NOS
P1-37895|Ligation of artery of lower limb
P1-82514|Insertion of pessary into vagina
P1-82514|Insertion of supporting pessary into vagina
P1-82514|Insertion of supporting suppository into vagina
P1-82514|Insertion of suppository into vagina
P1-48D34|Grafting of skin and dermal-fat for breast augmentation
P1-14820|Revision of total hip arthroplasty, both components, with autograft
P1-12315|Radical neck dissection
P1-12315|Radical block neck dissection
P1-12315|RND - Radical neck dissection
P1-12315|Radical neck dissection, NOS
P2-20254|Laryngologic examination under general anesthesia
P2-20254|Laryngologic examination under general anaesthesia
P1-B6020|Operation on umbilicus
P1-B6020|Procedure on umbilicus
P1-B6020|Operation on umbilicus, NOS
P3-73150|Immunoglobulin G measurement
P3-73150|IgG
P3-73150|Immunoglobulin G level
P3-73150|IgG - Immunoglobulin G
P1-10010|Diagnostic procedure on musculoskeletal system
P1-10010|Diagnostic procedure on musculoskeletal system, NOS
P3-6A052|Cell fusion
P1-05054|Irrigation following insertion of cannula
P8-80610|Rebase of complete lower denture
P3-53150|Microbial identification, rapid NFT method
P1-A2C12|Cauterization of lacrimal punctum
P1-A2C12|Cauterisation of lacrimal punctum
P1-A2C12|Retropunctal cautery of lacrimal punctum
P1-A2120|Exploration of eyelid
P1-A2120|Exploration of eyelid, NOS
P1-18932|Primary repair of torn ligament and capsule of knee, collateral
P1-18333|Resection of femoral head and neck of femur
P1-18333|Excision arthroplasty of the hip
P1-18333|Girdlestone arthroplasty
P1-18333|Girdlestone operation on femoral head and neck
P1-18333|Girdlestone procedure of hip
P1-74110|Division of bladder neck
P1-17D32|Advancement of tendon profundus
P1-17D32|Wagner operation
P1-5C870|Repair of gallbladder
P2-44132|Delayed hypersensitivity skin test for coccidiodin
P2-44132|Skin test for coccidioidomycosis
P2-44132|Coccioidin skin test
P1-AB322|Excision of soft tissue lesion from external auditory canal
P1-AC330|Removal of tumor of temporal bone
P1-AC330|Removal of tumour of temporal bone
P1-37333|Thrombectomy with catheter of axillary artery by arm incision
P1-18402|Removal of foreign body of popliteal space
P1-58354|Posterior resection of rectum
P3-62016|Antibody to soluble DNA measurement
P1-7A801|Simple scrotoplasty
P1-21B10|Reattachment of amputated nose
P1-21B10|Replantation of nose
P3-68126|IL-8 assay
P3-68126|Interleukin (IL)-8 assay
P1-40152|Puncture aspiration of bulla of skin
P1-38700|Endoscopy of vein
P1-38700|Angioscopy of vein
P1-38700|Endoscopy of vein, NOS
P5-30004|Cardiac tomography
P1-16B67|Bankhart type operation with stapling
P1-16B67|Bankart type operation with stapling
P1-17826|Intercarpal fusion
P1-84866|Incidental ligation of fallopian tubes
P1-14124|Hanging hip operation
P1-14124|Voss operation
P3-11120|Platelet antibody assay
P3-11120|Platelet antibody assay, NOS
P1-36822|Direct repair of intrathoracic artery with bypass
P1-11390|Removal of foreign body from alveolus
P1-11390|Removal of foreign body from alveolar bone
P1-35361|Thrombectomy of head and neck artery
P1-35361|Removal of thrombus of head and neck artery
P1-37896|Reattachment of artery of extremity
P1-A1584|Revision and reinsertion of ocular implant
P1-19421|Excision of lesion of phalanges of foot
P1-61356|Excision of lingual thyroid
P1-61356|Excision of lingual thyroid, NOS
P1-86D60|Obstetric transposition
P1-86D60|Obstetric transposition, NOS
P1-83490|Excision of lesion of round ligament
P1-A4302|Excision of lesion of anterior chamber of eye
P1-A4302|Excision of lesion of anterior chamber of eye, NOS
P5-D6106|Thyroid uptake with thyroid stimulation
P5-D6106|Radioiodine uptake study with thyroid stimulation
P3-22730|Packed RBC preparation
P3-22730|Preparation of packed red blood cells
P3-22730|Packed RBC preparation, NOS
P1-A6846|Outfolding of sclera for buckling
P0-10050|Hospital admission, precertified by medical audit action
P3-33120|Alkaline phosphatase stain method, blood or bone marrow
P3-33120|Stain, alkaline phosphatase, blood or bone marrow
P3-33120|Alkaline phosphatase stain
P1-18514|Replacement of prosthesis of lower extremity
P1-18514|Replacement of prosthesis of leg, bioelectric or cineplastic
P1-25930|Laryngoplasty for laryngeal stenosis with graft
P1-45350|Excision of subcutaneous tumour of extremities
P1-45350|Excision of subcutaneous tumor of extremities
P1-1889B|Femoral shortening with blade plate
P1-1889B|Blount operation
P1-23820|Elevation of orbital bone fragments of maxillary sinus
P1-18521|Insertion of prosthesis or prosthetic device of femoral head with use of methyl methacrylate
P1-71347|Excision of lesion of kidney with partial nephrectomy
P3-10610|Partial thromboplastin time inhibition test
P1-315C2|Removal of Kantrowitz heart pump
P1-A2414|Excision of lesion of lacrimal gland by frontal approach
P1-28C34|Pleurodesis with cancer chemotherapy substance
P1-65321|Excision of superficial cervical lymph nodes
P1-03114|Trephine biopsy
P1-AD514|Implantation of cochlear prosthetic device, multiple channels
P1-AD514|Implantation of cochlear electronic stimulator, multiple channels
P3-70630|Suppression test
P3-59020|Handling of microbiologic test report
P1-34513|Introduction of aortic needle by translumbar route
P2-47004|Passive immunization
P2-47004|Passive immunisation
P2-47004|Immunoglobulin injection
P2-47004|Immune globulin immunization
P2-47004|Immune globulin immunisation
P1-53330|Pharyngectomy
P1-53330|Pharynx excision
P1-53330|Excision of pharynx
P1-93004|Incision of spinal cord meninges
P1-93004|Incision of spinal meninges
P1-010A9|Drainage of orofacial abscess
P1-08445|Suture of laceration of external ear
P1-08445|Repair of ear laceration by suture
P1-080AF|Construction of external stoma
P1-A2227|Slitting of lacrimal canaliculus for removal of streptothrix
P1-A2227|Evacuation of streptothrix from lacrimal duct
P1-28339|Excision of accessory or ectopic lung tissue
P0-00A86|Medical/dental care education, guidance, and counseling
P0-00A86|Medical/dental care education, guidance, and counselling
P0-00A86|Medical/dental care teaching, guidance, and counseling
P0-00A86|Medical/dental care teaching, guidance, and counselling
P0-00AA6|Caretaking/parenting skills education, guidance, and counseling
P0-00AA6|Caretaking/parenting skills education, guidance, and counselling
P0-00AA6|Caretaking/parenting skills teaching, guidance, and counselling
P0-00AA6|Caretaking/parenting skills teaching, guidance, and counseling
P0-05BD1|Anastomosis of oesophagus to small bowel
P0-05BD1|Anastomosis of esophagus to small bowel
PA-6005A|Stress control education
PA-6005A|Teach stress control
PA-6005A|Stress management education
PA-60066|Physician status report education
PA-60066|Teach physician status report
P0-04127|Physical evaluation management
P0-04127|Manage clinical measurements
P0-04127|Manage physical measurements
P0-04133|Positioning therapy management
P0-04133|Manage positioning therapy
P0-04133|Positioning case management
P0-00A87|Medication action/side effects education, guidance, and counselling
P0-00A87|Medication action/side effects education, guidance, and counseling
P0-00A87|Medication action/side effects teaching, guidance, and counselling
P0-00A87|Medication action/side effects teaching, guidance, and counseling
P0-00AA7|Cast care education, guidance, and counselling
P0-00AA7|Cast care education, guidance, and counseling
P0-00AA7|Cast care teaching, guidance, and counselling
P0-00AA7|Cast care teaching, guidance, and counseling
P0-04126|Physical examination management
P0-04126|Manage physical examination
P1-28508|Pneumonolysis
P1-54C24|Electrocautery of lesion of oesophagus
P1-54C24|Electrocautery of lesion of esophagus
P1-54C24|Electrocoagulation of esophageal lesion
P1-54C24|Electrocoagulation of oesophageal lesion
P1-95506|Injection of sympathetic nerve
P3-70580|Tolerance test
P3-70580|Tolerance test, NOS
P1-14360|Disarticulation of hip
P1-14360|Amputation by hip disarticulation
P1-14360|Amputation of leg through hip by disarticulation
P1-14360|Through hip amputation of lower limb
P8-40500|Posttreatment stabilization, orthodontic device
P8-40500|Posttreatment stabilisation, orthodontic device
P1-A2983|Repair of entropion
P1-A2983|Entropion correction
P1-A2983|Repair of entropion, NOS
P1-B9854|Bilateral repair of inguinal hernia with prosthesis or graft
P1-B9854|Bilateral repair of inguinal hernia with prosthesis or graft, NOS
P1-B1C10|Destruction of lesion of chest wall
P1-B1C10|Destruction of lesion of chest wall, NOS
P1-56E12|Intra-abdominal manipulation of small intestine
P3-70502|High performance liquid chromatography, UV type
P1-10C05|Stripping of bone
P1-23714|Maxillary sinus endoscopy with removal of foreign body
P1-C7540|Anesthesia for cast procedure on forearm, wrist or hand
P1-C7540|Anaesthesia for cast procedure on forearm, wrist or hand
P5-1002C|Sialogram
P5-1002C|Radiography of salivary gland
P5-1002C|Salivary gland X-ray
P1-23309|Removal of foreign body from maxillary sinus
P1-23309|FB - Removal of foreign body from maxillary antrum
P1-23309|Removal of foreign body from maxillary antrum
P1-23309|Removal of foreign body from maxillary sinus, NOS
P1-AD812|Repair of oval window fistula
P1-AD812|Closure of fistula of oval window
P1-AD812|Closure of fistula of oval window of ear
P1-33330|Coronary artery atherectomy
P1-33330|Coronary artery atherectomy, NOS
P1-33330|Coronary atherectomy
P1-33330|Coronary atherectomy, NOS
PA-00A00|Care of patient's personal effects
PA-00A00|Care of patient's personal effects, NOS
P3-73813|Porphyrin measurement, total, plasma
P1-45879|Reduction of batwing arms
P1-8336B|Vaginal hysterectomy with partial colpectomy and repair of enterocele
P1-34303|Excision of descending aorta
P1-34303|Arteriectomy of descending aorta
P1-A2987|Repair of entropion by suture
P1-A2987|Suture repair of entropion
P1-A2987|Suture of eyelid with entropion repair
P1-56104|Myotomy of intestine
P1-56104|Myotomy of intestine, NOS
P1-10C15|Lysis of adhesions of fascia
P1-10C15|Freeing of adhesions of fascia
P1-10C15|Fascia adhesions freed
P1-73330|Core needle biopsy of ureter
P1-40214|Aspiration of subcutaneous tissue
P1-08002|Plastic repair with lengthening
P1-40E20|Enlargement of sinus tract of skin
P1-40E20|Enlargement of sinus tract of skin, NOS
P1-0D052|Excision of tissue or organ for grafting from recipient site
P1-45388|Excision of trochanteric pressure ulcer with skin flap closure
P3-78737|Tobramycin measurement
P3-78737|Tobramycin level
P1-17701|Diagnostic arthroscopy of wrist with synovial biopsy
P8-80850|Tissue conditioning, lower, per denture unit
P1-A3812|Lamellar keratoplasty with autograft
P3-52770|Coagulase test
P1-58387|Internal haemorrhoidectomy
P1-58387|Internal hemorrhoidectomy
P2-67020|Chemotherapy for non-malignant neoplasm
P2-67020|Chemotherapy for non-malignant neoplasm, NOS
P3-72552|Cortisol measurement, free, urine
P3-72552|Urine free cortisol titre
P3-72552|Urine free cortisol titer
P3-72552|UFC - Urine free cortisol level
P3-72552|Urine free cortisol level
P1-25411|Partial submucous laryngectomy
P3-50140|Microbial culture, anaerobic, initial isolation
P1-74804|Complicated cystorrhaphy
P3-78431|Mercury measurement, blood
P1-14149|Symphysiotomy
P1-14149|Synchondrotomy of the symphysis pubis
P1-26182|Incision and exploration of bronchus
P1-B3804|Suture of laceration of diaphragm
P1-18378|Shaving of patella
P3-70482|Gas liquid chromatography, electron capture type
P1-39122|Subsequent pericardiocentesis
P5-10628|Cineradiography of pharynx
P5-00910|Consultation and report by radiologist
P1-86EA6|Manual removal of retained placenta
P1-86EA6|Manual evacuation of retained placenta
P1-86EA6|MRP - Manual removal of placenta
P1-86EA6|Manual removal of placenta
P1-86EA6|Manual removal of decidua
P1-86EA6|Manual removal secundines
P7-12300|Chiropractic adjustment of single cervical spine subluxation
P1-91124|Amygdalotomy
P1-0D025|Delayed allogeneic transplantation, cadaver donor
P8-51320|Restoration, inlay, composite/resin, two surfaces, laboratory processed
P1-A1130|Dissection of orbital fibrous bands
P3-60142|Coated particle agglutination inhibition assay
P1-B9388|Excision of redundant mucosa of perineum
P9-14000|Daily full psychiatric care of inpatient
P1-95026|Diagnostic procedure on cranial nerve ganglion
P8-00490|Diagnostic model construction
P1-18405|Partial excision of proximal fibula
P1-10180|Incision of bursa
P1-10180|Bursotomy, NOS
P1-10180|Incision of bursa, NOS
P1-10180|Bursotomy
P1-73140|Ureterocentesis
P1-B6E10|Manipulation of abdominal tissue
P1-B6E10|Manipulation of abdominal tissue, NOS
P7-50600|Diathermy
P7-50600|Diathermy, NOS
P7-50600|Physical medicine diathermy treatment to one area
P1-65301|Biopsy of lymph node
P1-65301|Biopsy of lymph node, NOS
P1-65301|Lymph node biopsy
P2-40410|Curette test of skin
P1-16166|Medial fasciotomy with extensor origin detachment
P1-30331|Gas endarterectomy
P1-66510|Injection of tonsil
P1-66510|Injection of tonsil, NOS
P5-C1302|Radionuclide therapy for gland ablation
P5-C1302|Radionuclide therapy for gland ablation, NOS
P1-30934|Repair of aneurysm by occlusion
P1-B6912|Hypochondrial hernioplasty
P1-B6912|Subchondral hernioplasty
P1-84375|Fimbriectomy of fallopian tube
P1-40301|Wedge resection of skin
PA-00609|Fluid restriction
P2-A5204|Prescribing, fitting and revision of contact lens
P1-16AA2|Arrest of bone growth of ulna
P2-A0020|Limited eye examination
P3-78250|Digoxin measurement
P1-36402|Removal of thrombus from thoracic artery
P1-36402|Thrombectomy of thoracic artery, NOS
P1-36402|Thrombectomy of thoracic artery
P1-36402|Removal of thrombus from thoracic artery, NOS
P1-43700|Endoscopy of skin of trunk
P1-43700|Endoscopy of skin of trunk, NOS
P1-C0320|Stellate block anesthesia
P1-C0320|Stellate block anaesthesia
P1-9516B|Acoustic rhizotomy
P5-C0160|Radiation therapy isodose plan, arc field
PA-00465|Making anesthesia bed
PA-00465|Making anaesthesia bed
P3-72782|Stool fat, quantitative measurement
P1-189A5|Epiphyseal arrest by epiphysiodesis of distal tibia
P8-85680|Bridge repair by report
P1-36361|Thrombectomy with catheter of mesenteric artery by abdominal incision
P1-A6538|Removal of retinal implant
P2-25400|Pulmonary stress testing
P2-25400|Pulmonary stress testing, NOS
P1-95390|Ganglionectomy of nerve
P1-95390|Ganglionectomy of nerve, NOS
P1-83936|Frommel operation on uterine ligaments
P1-25E20|Reduction of fracture of larynx
P1-25E20|Treatment of closed laryngeal fracture with closed manipulative reduction
P1-25E20|Reduction of laryngeal fracture
P1-25E20|Reduction of fracture of larynx, NOS
P5-70400|X-ray of lumbosacral spine
P5-70400|X-ray of lumbosacral spine, NOS
P5-70400|Radiography of lumbosacral spine, NOS
P5-70400|Radiography of lumbosacral spine
P1-13813|Anterior spinal instrumentation
P5-36052|Pulmonary phlebography
P5-36052|Pulmonary venous angiogram
P5-36052|Pulmonary venogram
P1-40880|Ligation of dermal appendage
P1-40880|Ligation of dermal appendage, NOS
P1-40880|Ligation of skin tag
P1-31800|Repair of heart
P1-31800|Cardioplasty
P1-31800|Cardioplasty, NOS
P1-31800|Repair of heart, NOS
P1-35363|Gas endarterectomy of head and neck artery
P1-74812|Cystourethroplasty with bilateral ureteroneocystostomy
P5-50100|Radiography of intestine
P5-50100|Radiography of intestine, NOS
P1-75304|Excision of urethral caruncle
P1-75304|Urethral caruncle removal
P1-577A3|Sigmoidoscopy through artificial stoma
P1-33E00|Manipulation of coronary artery
P1-33E00|Manipulation of coronary artery, NOS
P1-16AA5|Epiphysiodesis of ulna
P1-13920|Lumbosacral arthrodesis
P1-13920|Lumbosacral fusion
P1-13920|Lumbosacral spinal fusion
P1-10829|Repair of macrodactyly
P1-10829|Repair of macrodactyly, NOS
P1-86E64|Mid forceps delivery with episiotomy
P1-25362|Cricothyroidectomy
P1-25362|Thyrocricoidectomy
P1-51301|Excision of lesion of lip
P1-61312|Fine needle biopsy of thyroid
P1-61312|Fine needle aspiration biopsy of thyroid
P1-48E52|Dilation of teat
P3-70293|Immunofluorescence cell labelling index measurement
P1-30882|Revision of anastomosis of artery
P1-30882|Revision of anastomosis of artery, NOS
P0-20100|Patient discharge, signed out against medical advice
P0-20100|Self-discharged patient
PA-11802|Preoperative shaving of skin
P1-AC381|Revision of mastoidectomy with apicectomy
P7-70220|Orthotic device construction and fitting
P3-40820|Tissue frozen section technique, complete
P1-40514|Implant of silicone under skin for augmentation
P1-40514|Implant of silicone under skin for augmentation, NOS
P1-5C84A|Cholecystoileostomy
P8-51440|Restoration, crown, resin with noble metal
P1-57179|Sigmoidotomy
P1-10850|Reattachment of joint capsule
P1-37867|Femoral-anterior tibial artery bypass graft with vein
P1-37867|Femoral-anterior tibial artery in-situ vein bypass
P3-34080|Hematocrit determination
P3-34080|Haematocrit determination
P3-34080|Hct - Haematocrit
P3-34080|Hematocrit
P3-34080|Hematocrit - PCV
P3-34080|Hct - Hematocrit
P3-34080|Haematocrit
P3-34080|Haematocrit - PCV
P3-71863|Amylase measurement, urine
P3-71863|Urine amylase level
P3-71863|Urine amylase
P1-91C12|Lysis of cortical adhesions of brain
P1-C6880|Anesthesia for lower leg cast procedure
P1-C6880|Anaesthesia for lower leg cast procedure
P7-90550|Lead dog for the blind training
P7-90550|Guide dog training
P7-90550|Training in use of lead dog for the blind
P1-36370|Embolectomy with catheter of renal artery by abdominal incision
P1-A4512|Injection of liquid in anterior chamber of eye
P2-48124|Immunisation for parvovirus
P2-48124|Immunization for parvovirus
P1-61E00|Manipulation of thyroid gland
P1-61E00|Manipulation of thyroid gland, NOS
P1-10A62|Knee arthrodesis with plate
P1-5B30F|Open fine needle aspiration biopsy of liver
P1-95309|Incisional biopsy of peripheral nerve
P1-86052|Repair of obstetric laceration of anus
P3-72640|Dehydroepiandrosterone sulfate measurement
P3-72640|Dehydroepiandrosterone sulphate measurement
P3-72640|Dehydroepiandosterone sulfate measurement
P3-72640|DHEA-S measurement
P1-35700|Endoscopy of artery of head and neck
P1-35700|Endoscopy of artery of head and neck, NOS
P1-48301|Incisional biopsy of breast mass
P1-48301|Incisional biopsy of breast mass, NOS
P1-66370|Tonsillectomy and adenoidectomy
P1-66370|Adenotonsillectomy
P1-66370|Ts and As - Tonsillectomy and adenoidectomy
P1-66370|Tonsillectomy with adenoidectomy
P1-66370|Tonsillectomy with adenoidectomy, NOS
P1-66370|Adenotonsillectomy, NOS
P1-82014|Operation on cul-de-sac
P1-82014|Operation on cul-de-sac, NOS
P1-82014|Pouch of Douglas operation
P1-17340|Arthrectomy of wrist
P1-17340|Arthrectomy of wrist, NOS
P1-17340|Excision of wrist joint
P1-17340|Excision of wrist joint, NOS
P3-67122|C-ANCA measurement
P3-67122|C-Anti-neutrophil cytoplasmic antibodies (C-ANCA) measurement
P1-48828|Revision of reconstructed breast
P1-48828|Revision of reconstruction of breast
P1-43840|Marsupialisation of pilonidal cyst or sinus
P1-43840|Marsupialization of pilonidal cyst or sinus
P1-43840|Exteriorization of pilonidal cyst or sinus
P1-43840|Exteriorisation of pilonidal cyst or sinus
P1-93612|Removal of spinal neurostimulator electrodes
P1-93612|Removal of spinal electrodes
P1-18519|Insertion of bone growth stimulator into femur
P1-B9185|Incision of hematoma of male perineum
P1-B9185|Incision of haematoma of male perineum
P1-57331|Partial resection of colon
P1-57331|Segmental colectomy
P1-57331|Partial colectomy
P1-57331|Subtotal colectomy
P1-57331|Extended hemicolectomy
P1-57331|Segmental excision of colon
P1-57331|STC - Subtotal colectomy
P3-10590|Partial thromboplastin time, activated
P3-10590|PTT, activated
P3-10590|PTT - Partial thromboplastin time
P3-10590|PTT
P3-10590|PTT assay
P3-10590|APTT - Activated partial thromboplastin time
P3-10590|APTT
P2-44136|Delayed hypersensitivity skin test for staphage lysate
P0-10900|General outpatient clinic admission
P0-10900|General outpatient clinic admission, NOS
P1-17703|Arthroscopy of wrist with complete synovectomy
P1-16187|Osteotomy of radius and ulna
P1-16187|Division of radius and ulna
P1-16187|Osteotomy of radius and ulna, NOS
P1-16187|Division of radius and ulna, NOS
P0-30200|Patient status determination
P0-30200|Patient condition determination, NOS
P0-30200|Patient condition determination
P0-30200|Patient status determination, NOS
PA-60076|Respiratory rate taking education
PA-60076|Teach respiratory rate taking
PA-60076|Teach respiration
P0-04138|Violence control management
P0-04138|Manage violence prevention
P0-04138|Manage violence control
PA-60084|Pain control education
PA-60084|Teach pain control
P0-00A9D|Nutritionist education, guidance, and counseling
P0-00A9D|Nutritionist education, guidance, and counselling
P0-00A9D|Nutritionist care education, guidance, and counselling
P0-00A9D|Nutritionist care education, guidance, and counseling
P0-00A9D|Nutritionist teaching, guidance, and counselling
P0-00A9D|Nutritionist teaching, guidance, and counseling
PA-13140|Application of knee immobilizer
PA-13140|Application of knee immobiliser
P0-05691|Drainage of female pelvic peritoneum by incision
P1-30840|Repair of blood vessel with patch graft
P1-30840|Grafting of blood vessel with patch, NOS
P1-30840|Grafting of blood vessel with patch
P1-30840|Repair of blood vessel with patch graft, NOS
P1-B7C17|Destruction of intra-abdominal tumor, extensive
P1-B7C17|Destruction of intra-abdominal tumour, extensive
P1-17153|Release of tendon sheath of hand
P3-700B1|PO>2< measurement
P1-93154|Anterior spinal rhizotomy
P1-4884D|Breast reduction, unilateral
P1-4884D|Reduction mammoplasty, unilateral
P1-5588C|Total fundoplication
P1-5588C|TFP - Total fundoplication
P3-60192|Detection of erythrocyte IgG antibody complex binding
P1-91132|Leukotomy
P1-91132|Leucotomy, NOS
P1-91132|Incision of white matter of frontal lobe of brain
P1-91132|Leucotomy
P1-91132|Leukotomy, NOS
P1-B6542|Removal of peritoneal drainage device
P1-B6542|Removal of peritoneal drain
P1-B6542|Removal of tube from peritoneum
P5-B8012|Transvaginal echography
P5-B8012|Transvaginal ultrasound scan
P3-33260|Immunocytochemical stain
P3-33260|Immunocytochemical stain, NOS
P1-A1512|Retrobulbar injection of therapeutic agent
P1-A1512|Retrobulbar injection of medication
P1-B7361|Exploration of retroperitoneal area with biopsy
P5-60092|Magnetic resonance imaging of urinary bladder
P5-60092|MRI of bladder
P0-05305|Procedure on tibia
P3-78548|Oxymorphone measurement
P1-18143|Division of ligament of knee
P1-18143|Division of joint ligament of knee
P3-78039|Aldrin measurement
P3-78103|Arsenic trioxide measurement
P1-25727|Direct laryngoscopy with insertion of obturator
P1-26191|Aspiration from trachea
P1-26191|Tracheal suction
P0-05306|Procedure on fibula
P0-05304|Procedure on patella
P0-05307|Procedure on tarsal bone
P0-05309|Procedure on metatarsal
P1-73302|Excision of lesion of ureter
P1-AD196|Perilymphatic tap
P1-5A884|Ligation of venom duct
P1-A400E|Barkan operation
P3-22240|Anti-human globulin test, enzyme technique, titer
P3-22240|Anti-human globulin test, enzyme technique, titre
P1-10403|Bunionectomy with soft tissue correction
P1-17847|Bost radiocarpal fusion
P1-17847|Smith-Peterson operation
P1-17847|Gill-Stein operation
P1-31031|Operation on chordae tendineae
P1-31031|Operation on chordae tendineae, NOS
P1-B6991|Repair of omphalocele with prosthesis
P3-6016D|Deoxyribonucleic acid antibody measurement
P3-60170|HIV 1/2 antibody assay
P3-60170|Human immunodeficiency virus (HIV) 1/2 antibody assay
P1-83384|Abdominal hysterectomy with colpo-urethrocystopexy, Marshall-Marchetti-Krantz type
P3-78179|Carbamate pesticide assay
P1-45010|Operation on skin of upper extremity
P1-45010|Operation on skin of upper extremity, NOS
P2-01564|Mediate auscultation
P2-01564|Auscultation with stethoscope
P1-21110|Conchotomy
P1-57388|Open biopsy of colon
P1-1035F|Silver operation
P1-C4520|Anesthesia for procedure on lower abdominal wall
P1-C4520|Anaesthesia for procedure on lower abdominal wall
P1-C4520|Anesthesia for procedure on lower abdominal wall, NOS
P3-6018F|IgG anti-IgA assay
P1-95013|Transposition of median nerve at carpal tunnel
P1-13E29|Closed reduction of fracture of transverse process of vertebra
P1-32111|Closed heart valvotomy of tricuspid valve
P1-32111|Closed tricuspid valvotomy
P1-73301|Open excisional biopsy of ureter
P3-72411|Cholesterol sulfate measurement
P3-72411|Cholesterol sulphate measurement
P3-30607|Serial platelet counts
P0-00A62|Sterilization of equipment
P0-00A62|Sterilisation of equipment
P3-73707|pH, combined acid measurement
P5-D5020|Isotope study for gastrointestinal blood loss
P5-D5020|Gastrointestinal blood loss study
P5-D5020|Radionuclide gastrointestinal bleeding study
P1-B9870|Repair of recurrent inguinal hernia
P1-B9870|Herniorrhaphy for recurrent inguinal hernia
P1-A2998|Reconstruction of eyelid, partial-thickness, involving lid margin
P3-50770|Mould to yeast conversion test
P3-50770|Mold to yeast conversion test
P1-30854|Repair of ruptured aneurysm with graft of artery
P1-30854|Repair of ruptured aneurysm with graft of unspecified artery
P1-57313|Fine needle biopsy of large intestine
P1-57313|Fine needle aspiration biopsy of large intestine
P1-10007|Operation on fascia
P1-10007|Operation on fascia, NOS
P1-10007|Fascia operation
P3-64086|Hepatitis E antibody measurement
P1-A3830|Refractive keratoplasty
P1-A3830|Keratorefractive surgery
P1-A3830|Keratomileusis
P1-A3830|Keratomeleusis
P1-12324|Removal of therapeutic device from neck
P3-62320|Rapid plasma reagin test
P3-62320|RPR test
P3-73708|pH, free acid measurement
P3-61A68|Dengue virus 2 antibody assay
P3-6229D|Japanese encephalitis virus antibody assay
P3-61A86|Hantavirus antibody assay
P3-72147|Trihydroxy bile acid measurement
P3-71786|Ammonia measurement following N-carbamoyl-L-glutamic acid loading test
P3-622B3|Reovirus antibody assay
P3-61687|Shigella sonnei antibody assay
P1-18142|Division of joint capsule of knee
P3-50047|Nocardia species culture
P0-0554E|Complete repair of anomalous venous return, supracardiac type
P3-49B2B|Campylobacter jejuni rRNA assay
P3-49B29|Campylobacter species rRNA assay
P3-62436|Mumps virus antigen assay
P3-6247E|Neisseria meningitidis A antigen assay
P3-62481|Neisseria meningitidis B antigen assay
P3-62482|Neisseria meningitidis C antigen assay
P3-59075|Lactobacillus acidophilus colony count
P3-52079|Leptospira species detection
P1-0E501|Fitting procedure
P1-0E501|Fitting
P0-040F8|Diarrhea care management
P0-040F8|Diarrhoea care management
P0-040F8|Manage diarrhea care
P0-040F8|Manage diarrhoea care
P0-A0276|Parenteral feeding education
P0-A0276|Teach parenteral feeding
P3-61940|Trypanosoma species antibody assay
P0-04106|Parenteral feeding management
P0-04106|Manage parenteral feeding
P3-60246|CD38 count
P1-95398|Spinal ganglionectomy
P3-62350|Toluidine red unheated serum test
P1-08024|Plastic repair and transfer of tissue
P3-60000|In-vitro immunologic test
P3-60000|In-vitro immunologic test, NOS
P1-75806|Prostatomembranous urethrorrhaphy
P1-34377|Thromboendarterectomy with graft of abdominal aorta
P1-0E202|Manual reduction of torsion of intestine
P5-0904F|Aortic dissection protocol MRI
P5-0904F|Aortic dissection protocol magnetic resonance imaging
P1-C0407|Local anesthetic block of sympathetic nerve or ganglion
P1-C0407|Local anaesthetic block of sympathetic nerve or ganglion
P1-C0407|LA - Local anaesthetic block of sympathetic nerve or ganglion
P1-C0407|LA - Local anesthetic block of sympathetic nerve or ganglion
P1-56941|Creation of ileo-anal W-shaped pouch
P1-86E52|Failed forceps delivery
P8-85000|Fixed prosthodontic procedure
P8-85000|Fixed prosthodontic procedure, NOS
P1-AC200|Mastoidotomy
P1-AC200|Incision of mastoid, NOS
P1-AC200|Mastoidotomy, NOS
P1-AC200|Incision of mastoid
P1-5C184|Hepaticolithotomy
P1-5C184|Lithotomy of hepatic ducts
P1-95903|Perineural suture technique
P1-95907|Epiperineural suture technique
P5-39010|Transcatheter therapy for embolization
P5-39010|Transcatheter therapy for embolisation
P5-39010|Transcatheter therapy for embolization, NOS
P2-A0510|Eikonometric examination including prescribing lenses
P1-25341|Excision of contact ulcer of vocal cord
P1-73737|Simple diagnostic ureteroscopy
P1-AD533|Replacement of cochlear prosthesis
P1-48367|Modified radical mastectomy, bilateral
P1-8380D|Surgical repair of prolapsed uterus
P1-8380D|Repair of uterine prolapse
P1-8380D|Suspension of uterus
P1-A298B|Repair of ectropion with lid reconstruction
P3-45620|Smear for neutrophils
P2-25220|Maximum breathing capacity measurement
P1-A6896|Reattachment of choroid and retina by photocoagulation
P1-91575|Replacement of ventricular shunt
P1-91575|Renewal of ventricular shunt
P1-91575|Renewal of cerebroventricular shunt
P1-10912|Plication of ligament
