SOURCE 	CLASS	LOINC_CODE	"Rank Order(1 = most frequently ordered)"	CONVENIENCE_NAME	LOINC_LONG_COMMON_NAME	COMPONENT	PROPERTY	TM	SPCMN	SCALE	METHOD	Usually not performed at a referral lab (X)
	CHEM	6942-7	1035	Albumin Ur Elph-mCnc	Albumin [Mass/volume] in Urine by Electrophoresis								
	SERO	6969-0	1036	Myeloperoxidase Ab Ser-aCnc	Myeloperoxidase Ab [Units/volume] in Serum								
	ALLERGY	6183-8	1037	Mugwort IgE Qn	Mugwort IgE Ab [Units/volume] in Serum								
	DRUG/TOX	3719-2	1038	Lithium SerPl-mCnc	Lithium [Mass/volume] in Serum or Plasma								
	CHEM	2469-5	1039	IgG4 Ser-mCnc	IgG subclass 4 [Mass/volume] in Serum								
	CHEM	2467-9	1040	IgG2 Ser-mCnc	IgG subclass 2 [Mass/volume] in Serum								
	CHEM	2468-7	1041	IgG3 Ser-mCnc	IgG subclass 3 [Mass/volume] in Serum								
	HEM/BC	32146-3	1042	Lg Platelets Bld Ql Smear	Platelets Large [Presence] in Blood by Light microscopy								
	SERO	14277-8	1043	c-ANCA Titr Ser IF	Neutrophil cytoplasmic Ab.classic [Titer] in Serum by Immunofluorescence								
	SERO	14278-6	1044	p-ANCA Titr Ser IF	Neutrophil cytoplasmic Ab.perinuclear [Titer] in Serum by Immunofluorescence								
	CHEM	17864-0	1045	Ca-I SerPl ISE-mCnc	Calcium.ionized [Mass/volume] in Serum or Plasma by Ion-selective membrane electrode (ISE)								
	COAG	48344-6	1046	KC time Time PPP	Kaolin activated time in Platelet poor plasma								
	CHEM	28637-7	1047	Base deficit BldCoV-sCnc	Base deficit in Venous cord blood								
	CYTO	18500-9	1048	Thin Prep Cervix	Microscopic observation [Identifier] in Cervix by Cyto stain.thin prep								
	CHEM	13987-3	1049	Alpha2 Glob 24H MFr Ur Elph	Alpha 2 globulin/Protein.total in 24 hour Urine by Electrophoresis								
	CHEM	13989-9	1050	Gamma glob 24H MFr Ur Elph	Gamma globulin/Protein.total in 24 hour Urine by Electrophoresis								
	MICRO	6556-5	1051	S pyo Ag Throat Ql EIA	Streptococcus pyogenes Ag [Presence] in Throat by Immunoassay								
	SERO	34661-9	1052	Actin IgG SerPl-aCnc	Actin IgG Ab [Units/volume] in Serum or Plasma								
	CHEM	41274-2	1053	AFP Interp SerPl-Imp	Alpha-1-Fetoprotein interpretation [interpretation] in Serum or Plasma								
	ATTACH.CLINRPT	33719-6	1054		Flow cytometry study								
	MICRO	5158-1	1055	EBV VCA IgG Titr Ser IF	Epstein Barr virus capsid IgG Ab [Titer] in Serum by Immunofluorescence								
	MOLPATH.MUT	24476-4	1056	F2 gene Mut Anal Bld/T	F2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal								
	CHEM	3052-8	1057	T3Reverse SerPl-mCnc	Triiodothyronine (T3).reverse [Mass/volume] in Serum or Plasma								
	CHEM	25700-6	1058	Interpretation SerPl IFE-Imp	Immunofixation [interpretation] for Serum or Plasma								
	DRUG/TOX	4049-3	1059	Theophylline SerPl-mCnc	Theophylline [Mass/volume] in Serum or Plasma								
	OB.US	11878-6	1060	# Fetuses US	Number of fetuses by US								
	CHEM	2147-7	1061	Cortis F 24H Ur-mRate	Cortisol Free [Mass/time] in 24 hour Urine								
	MICRO	21020-3	1062	Bacteria XXX Anaerobe+Aerobe Cult	Bacteria identified in Unspecified specimen by Anaerobe+Aerobe culture								
	MICRO	19108-0	1063	H capsul Ag Ser Ql	Histoplasma capsulatum Ag [Presence] in Serum								
	MICRO	44525-4	1064	H capsul Ag Ser Ql EIA	Histoplasma capsulatum Ag [Presence] in Serum by Immunoassay								
	CHEM	2115-4	1065	B-HCG Free SerPl-sCnc	Choriogonadotropin.beta subunit free [Moles/volume] in Serum or Plasma								
	SPEC	32167-9	1066	Clarity Ur	Clarity of Urine								
	HEM/BC	26518-1	1067	Polys NFr Fld	Polymorphonuclear cells/100 leukocytes in Body fluid								
	HEM/BC	19076-9	1068	Total Cells Counted XXX	Cells Counted Total [#] in Unspecified specimen								
	COAG	33673-5	1069	TT imm SO4 Time PPP	Thrombin time.factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of protamine sulfate								
	CHEM	32133-1	1070	Lactate PlasV-sCnc	Lactate [Moles/volume] in Plasma venous								
	DRUG/TOX	12286-1	1071	Drugs Ur Scn	Drugs identified in Urine by Screen method								
	ALLERGY	6263-8	1072	Amer Sycamore IgE Qn	American Sycamore IgE Ab [Units/volume] in Serum								
	MICRO	5095-5	1073	C immitis Ab Ser Ql ID	Coccidioides immitis Ab [Presence] in Serum by Immune diffusion (ID)								
	DRUG/TOX	8187-7	1074	BZE Mec Ql	Benzoylecgonine [Presence] in Meconium								
	CHEM	13994-9	1075	B-Globulin MFr Ur Elph	Beta globulin/Protein.total in Urine by Electrophoresis								
	HEM/BC	26523-1	1076	Promyelocytes # Bld	Promyelocytes [#/volume] in Blood								
	ALLERGY	6098-8	1077	Dog Dander IgE Qn	Dog dander IgE Ab [Units/volume] in Serum								
	MICRO	22310-7	1078	H pylori Ab Ser Ql	Helicobacter pylori Ab [Presence] in Serum								
	PULM	20124-4	1079	Ventilation mode Vent	Ventilation mode [Identifier] Ventilator								
	ALLERGY	6107-7	1080	Egg Yolk IgE Qn	Egg yolk IgE Ab [Units/volume] in Serum								
	MICRO	6604-3	1081	FLUV XXX Cult	Influenza virus identified in Unspecified specimen by Organism specific culture								
	CHEM	28647-6	1082	pH BldCoV	pH of Venous cord blood								
	FERT	6800-7	1083	Sperm Motile NFr Smn	Spermatozoa Motile/100 spermatozoa in Semen								
	ALLERGY	6718-1	1084	Cashew Nut IgE Qn	Cashew Nut IgE Ab [Units/volume] in Serum								
	MICRO	5181-3	1085	HAV IgM Ser EIA-aCnc	Hepatitis A virus IgM Ab [Units/volume] in Serum by Immunoassay								
	CHEM	1961-2	1086	HCO3 BldC-sCnc	Bicarbonate [Moles/volume] in Capillary blood								
	CHEM	28646-8	1087	pH BldCoA	pH of Arterial cord blood								
	CHEM	11051-0	1088	Lambda LC Ser-mCnc	Immunoglobulin light chains.lambda [Mass/volume] in Serum								
	COAG	32032-5	1089	PS IgG Ser EIA-aCnc	Phosphatidylserine IgG Ab [Units/volume] in Serum by Immunoassay								
	CHEM	18488-7	1090	Calcium 24H Ur-mCnc	Calcium [Mass/volume] in 24 hour Urine								
	HEM/BC	7793-3	1091	Howell-Jolly Bod Bld Ql Smear	Howell-Jolly bodies [Presence] in Blood by Light microscopy								
	DRUG/TOX	35668-3	1092	Gentamicin SerPl-mCnc	Gentamicin [Mass/volume] in Serum or Plasma								
	HEM/BC	11274-8	1093	Elliptocytes Bld Ql Smear	Elliptocytes [Presence] in Blood by Light microscopy								
	HLA	46995-7	1094	HLA-DP+DQ+DR Ab NFr Ser	HLA-DP+DQ+DR (class II) Ab in Serum								
	HLA	46994-0	1095	HLA-A+B+C Ab NFr Ser	HLA-A+B+C (class I) Ab in Serum								
	ALLERGY	6208-3	1096	Pecan/Hick Nut IgE Qn	Pecan or Hickory Nut IgE Ab [Units/volume] in Serum								
	MICRO	17851-7	1097	HSV2 IgG Ser Ql	Herpes simplex virus 2 IgG Ab [Presence] in Serum								
	MICRO	43180-9	1098	HSV2 IgG Ser Ql EIA	Herpes simplex virus 2 IgG Ab [Presence] in Serum by Immunoassay								
	CHEM	30166-3	1099	TSI Act/Nor Ser	Thyroid stimulating immunoglobulins actual/normal in Serum								
	SPEC	9631-3	1100	Visc Smn	Viscosity of Semen								
	FERT	10585-8	1101	Round Cells # Smn	Round cells [#/volume] in Semen								
	FERT	33217-1	1102	Sperm Agglutinated Smn Ql	Spermatozoa Agglutinated [Presence] in Semen								
	MICRO	5218-3	1103	H capsul Ab Ser Ql ID	Histoplasma capsulatum Ab [Presence] in Serum by Immune diffusion (ID)								
	COAG	27822-6	1104	Prot S Act/Nor PPP	Protein S actual/normal in Platelet poor plasma by Coagulation assay								
	CHEM	17793-1	1105	BJ Protein 24H Ur-mCnc	Immunoglobulin light chains [Mass/volume] in 24 hour Urine								
	MICRO	17850-9	1106	HSV1 IgG Ser Ql	Herpes simplex virus 1 IgG Ab [Presence] in Serum								
	MICRO	51916-5	1107	HSV1 IgG Ser Ql EIA	Herpes simplex virus 1 IgG Ab [Presence] in Serum by Immunoassay								
	MICRO	31844-4	1108	HBV e Ag Ser Ql	Hepatitis B virus e Ag [Presence] in Serum								
	CHEM	20450-3	1109	AFP MoM SerPl	Alpha-1-Fetoprotein [Multiple of the median] in Serum or Plasma								
	HEM/BC	48343-8	1110	Hgb Other MFr Bld	Hemoglobin.other/Hemoglobin.total in Blood								
	MICRO	5160-7	1111	EBV VCA IgM Titr Ser IF	Epstein Barr virus capsid IgM Ab [Titer] in Serum by Immunofluorescence								
	MICRO	29615-2	1112	HBV DNA # SerPl PCR	Hepatitis B virus DNA [#/volume] (viral load) in Serum or Plasma by Probe & target amplification method								
	COAG	21032-8	1113	TT Bld-Imp	Thrombin time [interpretation] in Blood								
	UA	5791-9	1114	Yeast Like Fungi #/area UrnS HPF	Fungi.yeastlike [#/area] in Urine sediment by Microscopy high power field								
	MICRO	20423-0	1115	B-Lactamase Organism Islt	Beta lactamase organism identified in Isolate								
	DRUG/TOX	8146-3	1116	Amphetamines Mec Ql Scn	Amphetamines [Presence] in Meconium by Screen method								
	COAG	20991-6	1117	AT III PPP-Imp	Antithrombin [interpretation] in Platelet poor plasma								
	ATTACH.CLINRPT	33720-4	1118		Blood bank consult								
	CHEM	2483-6	1119	IGF BP3 SerPl-mCnc	Insulin-like growth factor binding protein 3 [Mass/volume] in Serum or Plasma								
	MICRO	34712-0	1120	C dif Stl Ql	Clostridium difficile [Presence] in Stool								
	COAG	33594-3	1121	PF4 PPP Ql	Platelet factor 4 [Presence] in Platelet poor plasma								
	DRUG/TOX	8169-5	1122	THC Mec Ql Scn	Tetrahydrocannabinol [Presence] in Meconium by Screen method								
	CHEM	2258-2	1123	Estrone SerPl-mCnc	Estrone (E1) [Mass/volume] in Serum or Plasma								
	HEM/BC	17849-1	1124	Retics/100 RBC NFr Auto	Reticulocytes/100 erythrocytes in Blood by Automated count								
	DRUG/TOX	8216-4	1125	Opiates Mec Ql Scn	Opiates [Presence] in Meconium by Screen method								
	COAG	27816-8	1126	vWF Ag Act/Nor PPP Imm	von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunologic method								
	CELLMARK	8116-6	1127	CD19 Cells # Bld	CD19 cells [#/volume] in Blood								
	HEM/BC	7798-2	1128	Smudge Cells Bld Ql Smear	Smudge cells [Presence] in Blood by Light microscopy								
	PATH	9795-6	1129	Compn Stone	Composition in Stone								
	MICRO	5390-0	1130	T gondii IgM Ser EIA-aCnc	Toxoplasma gondii IgM Ab [Units/volume] in Serum by Immunoassay								
	SERO	32218-0	1131	cCP Ab Ser EIA-aCnc	Cyclic citrullinated peptide Ab [Units/volume] in Serum by Immunoassay								
	SERO	46266-3	1132	Myeloperoxidase Ab Ser EIA-aCnc	Myeloperoxidase Ab [Units/volume] in Serum by Immunoassay								
	MICRO	20479-2	1133	MeV IgG Ser Ql	Measles virus IgG Ab [Presence] in Serum								
	MICRO	35275-7	1134	MeV IgG Ser Ql EIA	Measles virus IgG Ab [Presence] in Serum by Immunoassay								
	HEM/BC	5781-0	1135	Crystals Snv Micro	Crystals [type] in Synovial fluid by Light microscopy								
	HLA	26043-0	1136	HLA-B27 Ql PCR	HLA-B27 [Presence] by Probe & target amplification method								
	SERO	16136-4	1137	B2 Glycoprot1 IgM Ser-aCnc	Beta 2 glycoprotein 1 IgM Ab [Units/volume] in Serum								
	SERO	44449-7	1138	B2 Glycoprot1 IgM Ser EIA-aCnc	Beta 2 glycoprotein 1 IgM Ab [Units/volume] in Serum by Immunoassay								
	DRUG/TOX	19296-3	1139	Opiates Tested Ur Scn	Opiates tested for in Urine by Screen method Nominal								
	CHEM	14115-0	1140	Collagen NTx/Creat Ur-sRto	Collagen crosslinked N-telopeptide/Creatinine [Molar ratio] in Urine								
	CHAL	1521-4	1141	Glucose 2H p meal SerPl-mCnc	Glucose [Mass/volume] in Serum or Plasma --2 hours post meal								
	MICRO	5290-2	1142	VDRL CSF Ql	Reagin Ab [Presence] in Cerebral spinal fluid by VDRL								
	UA	5817-2	1143	Urate Cry UrnS Ql Micro	Urate crystals [Presence] in Urine sediment by Light microscopy								
	SERO	46267-1	1144	Proteinase3 Ab Ser EIA-aCnc	Proteinase 3 Ab [Units/volume] in Serum by Immunoassay								
	CHEM	2270-7	1145	Fat Stl Ql	Fat [Presence] in Stool								
	ALLERGY	6278-6	1146	White Ash IgE Qn	White Ash IgE Ab [Units/volume] in Serum								
	ALLERGY	7369-2	1147	Per rye grass IgE Qn	Perennial rye grass IgE Ab [Units/volume] in Serum								
	SERO	8091-1	1148	ENA RNP Ab Ser Ql	Ribonucleoprotein extractable nuclear Ab [Presence] in Serum								
	MICRO	41222-1	1149	Yeast Fld Ql Micro	Yeast [Presence] in Body fluid by Light microscopy								
	CHEM	38505-4	1150	Thyroglob Recovery MFr SerPl	Thyroglobulin recovery in Serum or Plasma								
	SERO	16135-6	1151	B2 Glycoprot1 IgG Ser-aCnc	Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum								
	SERO	44448-9	1152	B2 Glycoprot1 IgG Ser EIA-aCnc	Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum by Immunoassay								
	ALLERGY	6076-4	1153	Clam IgE Qn	Clam IgE Ab [Units/volume] in Serum								
	MICRO	593-4	1154	Legionella XXX Cult	Legionella sp identified in Unspecified specimen by Organism specific culture								
	PULM	33437-5	1155	pO2 BldC TcO2	Oxygen [Partial pressure] in Capillary blood by Transcutaneous O2 monitor								
	MICRO	48683-7	1156	Gp B Strep DNA XXX Ql PCR	Streptococcus agalactiae DNA [Presence] in Unspecified specimen by Probe & target amplification method								
	MICRO	20574-0	1157	H capsul Yst Ab Titr Ser CF	Histoplasma capsulatum yeast phase Ab [Titer] in Serum by Complement fixation								
	MICRO	49539-0	1158	CMV IgM Ser Ql IF	Cytomegalovirus IgM Ab [Presence] in Serum by Immunofluorescence								
	ATTACH.CLINRPT	33721-2	1159		Bone marrow Pathology biopsy report								
	MICRO	5127-6	1160	CMV IgM Titr Ser IF	Cytomegalovirus IgM Ab [Titer] in Serum by Immunofluorescence								
	MOLPATH	33773-3	1161	Karyotyp Amn	Karyotype [Identifier] in Amniotic fluid Nominal								
	OB.US	49051-6	1162	GA (weeks)	Gestational age in weeks								
	HEM/BC	7789-1	1163	Acanthocytes Bld Ql Smear	Acanthocytes [Presence] in Blood by Light microscopy								
	BDYWGT.MOLEC	8338-6	1164	Weight ante partum Measured	Body weight Measured --ante partum								
	CHEM	5117-7	1165	Cryoglob Ser Ql	Cryoglobulin [Presence] in Serum								
	CHEM	2752-4	1166	pH Smn	pH of Semen								
	COAG	15359-3	1167	dRVV Tme Act/Nor PPP	Dilute Russell viper venom time (dRVVT) actual/normal in Platelet poor plasma by Coagulation assay								
	CHEM	2077-6	1168	Chloride Sweat-sCnc	Chloride [Moles/volume] in Sweat								
	MICRO	41499-5	1169	L pneumo1 Ag Ur Ql EIA	Legionella pneumophila 1 Ag [Presence] in Urine by Immunoassay								
	BDYWGT.ATOM	3141-9	1170	Weight Measured	Body weight Measured								
	SERO	5348-8	1171	ENA Scl70 Ab Ser Ql EIA	SCL-70 extractable nuclear Ab [Presence] in Serum by Immunoassay								
	ALLERGY	15761-0	1172	Sweetgum IgE RAST Ql	Sweetgum IgE Ab RAST class in Serum								
	CHEM	2615-3	1173	MetHgb MFr BldA	Methemoglobin/Hemoglobin.total in Arterial blood								
	MICRO	5053-4	1174	Aspergillus Ab Titr Ser CF	Aspergillus sp Ab [Titer] in Serum by Complement fixation								
	SPEC	33247-8	1175	Specimen wt Sweat Qn	Weight of Sweat								
	MICRO	5183-9	1176	HAV Ab Ser EIA-aCnc	Hepatitis A virus Ab [Units/volume] in Serum by Immunoassay								
	MICRO	29893-5	1177	HIV1 Ab Ser Ql EIA	HIV 1 Ab [Presence] in Serum by Immunoassay								
	CHEM	20465-1	1178	HCG MoM SerPl	Choriogonadotropin [Multiple of the median] in Serum or Plasma								
	CHEM	20466-9	1179	u Estriol MoM SerPl	Estriol (E3).unconjugated [Multiple of the median] in Serum or Plasma								
	MOLPATH.MUT	38404-0	1180	CFTR Mut Anal Bld/T	CFTR gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative								
	CHEM	27923-2	1181	Ubiquinone10 SerPl-mCnc	Ubiquinone 10 [Mass/volume] in Serum or Plasma								
	HEM/BC	26512-4	1182	Neutrophils NFr CSF	Neutrophils/100 leukocytes in Cerebral spinal fluid								
	CHEM	48039-2	1183	Fibronectin Fetal XXX Ql	Fibronectin.fetal [Presence] in Unspecified specimen								
	DRUG/TOX	5631-7	1184	Copper SerPl-mCnc	Copper [Mass/volume] in Serum or Plasma								
	MICRO	5880-0	1185	RV Ag Stl Ql EIA	Rotavirus Ag [Presence] in Stool by Immunoassay								
	CHEM	2671-6	1186	Normetanephrine 24H Ur-mRate	Normetanephrine [Mass/time] in 24 hour Urine								
	CHEM	1924-0	1187	Base deficit BldV-sCnc	Base deficit in Venous blood								
	ABXBACT	49573-9	1188	HIV Gentyp Islt	HIV genotype [Susceptibility] in Isolate by Genotype method Narrative								
	COAG	15191-0	1189	LAC Nt Dil PL PPP Ql	Lupus anticoagulant neutralization dilute phospholipid [Presence] in Platelet poor plasma								
	SERO	5356-1	1190	ENA SM Ab Ser Ql EIA	Smith extractable nuclear Ab [Presence] in Serum by Immunoassay								
	HEM/BC	23761-0	1191	Neutrophils NFr Bld Manual	Neutrophils/100 leukocytes in Blood by Manual count								
	SERO	5297-7	1192	Rheumatoid fact Ser Ql LA	Rheumatoid factor [Presence] in Serum by Latex agglutination								
	SERO	5301-7	1193	ENA RNP Ab Ser Ql EIA	Ribonucleoprotein extractable nuclear Ab [Presence] in Serum by Immunoassay								
	MICRO	9783-2	1194	E chaffeensis IgG Titr Ser	Ehrlichia chaffeensis IgG Ab [Titer] in Serum								
	UA	25156-1	1195	Eosinophil UrnS Ql Micro	Eosinophils [Presence] in Urine sediment by Light microscopy								
	PULM	19839-0	1196	Breaths.spontaneous on vent	Breath rate spontaneous --on ventilator								
	CHEM	2778-9	1197	Phosphate Ur-mCnc	Phosphate [Mass/volume] in Urine								
	CHEM	13988-1	1198	B-Globulin 24H MFr Ur Elph	Beta globulin/Protein.total in 24 hour Urine by Electrophoresis								
	HEM/BC	4621-9	1199	Hgb S Bld Ql	Hemoglobin S [Presence] in Blood								
	HEM/BC	26471-3	1200	WBC Other NFr Bld	Leukocytes other/100 leukocytes in Blood								
	MICRO	46082-4	1201	FLUAV Ag Nph Ql EIA	Influenza virus A Ag [Presence] in Nasopharynx by Immunoassay								
	MICRO	46083-2	1202	FLUBV Ag Nph Ql EIA	Influenza virus B Ag [Presence] in Nasopharynx by Immunoassay								
	CHEM	2357-2	1203	G6PD RBC-cCnc	Glucose-6-Phosphate dehydrogenase [Enzymatic activity/volume] in Red Blood Cells								
	CHEM	28645-0	1204	pCO2 BldCoV	Carbon dioxide [Partial pressure] in Venous cord blood								
	CHEM	2900-9	1205	Vit B6 SerPl-mCnc	Pyridoxine [Mass/volume] in Serum or Plasma								
	UA	5809-9	1206	Reducing Subs Ur Ql	Reducing substances [Presence] in Urine								
	CHEM	28649-2	1207	pO2 BldCoV	Oxygen [Partial pressure] in Venous cord blood								
	HEM/BC	6825-4	1208	Crystals Fld Micro	Crystals [type] in Body fluid by Light microscopy								
	MICRO	20458-6	1209	RUBV IgG Ser-Imp	Rubella virus IgG Ab [interpretation] in Serum								
	COAG	27818-4	1210	Prot C Act/Nor PPP Chro	Protein C actual/normal in Platelet poor plasma by Chromogenic method								
	ALLERGY	7691-9	1211	Scallop IgE Qn	Scallop IgE Ab [Units/volume] in Serum								
	MICRO	20474-3	1212	Bacteria Tiss Bx Cult	Bacteria identified in Tissue by Biopsy culture								
	CHEM	28641-9	1213	HCO3 BldCoV-sCnc	Bicarbonate [Moles/volume] in Venous cord blood								
	HEM/BC	12234-1	1214	Mesothl Cell NFr Fld Manual	Mesothelial cells/100 leukocytes in Body fluid by Manual count								
	MICRO	23877-4	1215	A phagocytoph IgG Titr Ser IF	Anaplasma phagocytophilum IgG Ab [Titer] in Serum by Immunofluorescence								
	CHEM	28644-3	1216	pCO2 BldCoA	Carbon dioxide [Partial pressure] in Arterial cord blood								
	CHEM	2956-1	1217	Sodium 24H Ur-sRate	Sodium [Moles/time] in 24 hour Urine								
	CHEM	28648-4	1218	pO2 BldCoA	Oxygen [Partial pressure] in Arterial cord blood								
	SERO	14252-1	1219	Smooth muscle Ab Ser Ql	Smooth muscle Ab [Presence] in Serum								
	SERO	21108-6	1220	B2 Glycoprot1 IgA Ser-aCnc	Beta 2 glycoprotein 1 IgA Ab [Units/volume] in Serum								
	SERO	44447-1	1221	B2 Glycoprot1 IgA Ser EIA-aCnc	Beta 2 glycoprotein 1 IgA Ab [Units/volume] in Serum by Immunoassay								
	MICRO	9784-0	1222	E chaffeensis IgM Titr Ser	Ehrlichia chaffeensis IgM Ab [Titer] in Serum								
	CHEM	49701-6	1223	pH temp adj Bld	pH of Blood adjusted to patients actual temperature								
	CHEM	6891-6	1224	Testost Bioavail MFr SerPl	Testosterone.bioavailable/Testosterone.total in Serum or Plasma								
	MICRO	11261-5	1225	Bacteria Vag Aerobe Cult	Bacteria identified in Vaginal fluid by Aerobe culture								
	MICRO	23878-2	1226	A phagocytoph IgM Titr Ser IF	Anaplasma phagocytophilum IgM Ab [Titer] in Serum by Immunofluorescence								
	CHEM	2112-1	1227	B-HCG Preg Ur Ql	Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine								
	CHEM	49047-4	1228	Globulin Ur Elph-mCnc	Globulin [Mass/volume] in Urine by Electrophoresis								
	CHEM	28640-1	1229	HCO3 BldCoA-sCnc	Bicarbonate [Moles/volume] in Arterial cord blood								
	CHAL	1527-1	1230	Glucose 30M p 75 g Glc PO SerPl-mCnc	Glucose [Mass/volume] in Serum or Plasma --30 minutes post 75 g glucose PO								
	DRUG/TOX	10912-4	1231	Lead SerPl-mCnc	Lead [Mass/volume] in Serum or Plasma								
	CHEM	57804-7	1232	# Occ bld spec recommended Stl	Number of occult blood specimens recommended by testing kit protocol [#] in Stool								
	HEM/BC	32207-3	1233	PDW Bld Auto	Platelet distribution width [Entitic volume] in Blood by Automated count								
	CHEM	12190-5	1234	Creat Fld-mCnc	Creatinine [Mass/volume] in Body fluid								
	COAG	3174-0	1235	AT III PPP Chro-aCnc	Antithrombin [Units/volume] in Platelet poor plasma by Chromogenic method								
	UA	33393-0	1236	Coarse Gran Casts #/area UrnS LPF	Coarse Granular Casts [#/area] in Urine sediment by Microscopy low power field								
	MICRO	9490-4	1237	A flavus Ab Ser Ql	Aspergillus flavus Ab [Presence] in Serum								
	HEM/BC	26447-3	1238	Blasts NFr CSF	Blasts/100 leukocytes in Cerebral spinal fluid								
	SERO	8095-2	1239	Smooth muscle Ab Titr Ser	Smooth muscle Ab [Titer] in Serum								
	CHEM	2232-7	1240	Epineph 24H Ur-mRate	Epinephrine [Mass/time] in 24 hour Urine								
	ALLERGY	6136-6	1241	Hazelnut IgE Qn	Hazelnut IgE Ab [Units/volume] in Serum								
	MICRO	9660-2	1242	HIV1 gp160 Ab Ser Ql IB	HIV 1 gp160 Ab [Presence] in Serum by Immunoblot (IB)								
	CHEM	2873-8	1243	Gamma glob CSF Elph-mCnc	Gamma globulin [Mass/volume] in Cerebral spinal fluid by Electrophoresis								
	MICRO	9668-5	1244	HIV1 p55 Ab Ser Ql IB	HIV 1 p55 Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9667-7	1245	HIV1 p51 Ab Ser Ql IB	HIV 1 p51 Ab [Presence] in Serum by Immunoblot (IB)								
	HEM/BC	24469-9	1246	Hgb XXX MFr Bld Elph	Hemoglobin XXX/Hemoglobin.total in Blood by Electrophoresis								
	HEM/BC	771-6	1247	nRBC # Bld Auto	Nucleated erythrocytes [#/volume] in Blood by Automated count								
	MICRO	9664-4	1248	HIV1 p24 Ab Ser Ql IB	HIV 1 p24 Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9661-0	1249	HIV1 gp120 Ab Ser Ql IB	HIV 1 gp120 Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9666-9	1250	HIV1 p31 Ab Ser Ql IB	HIV 1 p31 Ab [Presence] in Serum by Immunoblot (IB)								
	CYTO	11070-0	1251	Cyto Ur	Microscopic observation [Identifier] in Urine by Cyto stain								
	CHEM	6687-8	1252	Citrate 24H Ur-mRate	Citrate [Mass/time] in 24 hour Urine								
	CHEM	1854-9	1253	Androst SerPl-mCnc	Androstenedione [Mass/volume] in Serum or Plasma								
	CHEM	13993-1	1254	Alpha2 Glob MFr Ur Elph	Alpha 2 globulin/Protein.total in Urine by Electrophoresis								
	UA	5785-1	1255	Eosinophil #/area UrnS HPF	Eosinophils [#/area] in Urine sediment by Microscopy high power field								
	CHEM	13995-6	1256	Gamma glob MFr Ur Elph	Gamma globulin/Protein.total in Urine by Electrophoresis								
	CHEM	2668-2	1257	Norepineph 24H Ur-mRate	Norepinephrine [Mass/time] in 24 hour Urine								
	SERO	5354-6	1258	ENA SS-B Ab Ser Ql ID	Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immune diffusion (ID)								
	MICRO	27387-0	1259	S pneum14 IgG Ser-mCnc	Streptococcus pneumoniae 14 IgG Ab [Mass/volume] in Serum								
	MICRO	27229-4	1260	S pneum14 IgG Ser EIA-mCnc	Streptococcus pneumoniae 14 IgG Ab [Mass/volume] in Serum by Immunoassay								
	CHEM	1869-7	1261	Apo A-I SerPl-mCnc	Apolipoprotein A-I [Mass/volume] in Serum or Plasma								
	ABXBACT	33332-8	1262	Linezolid Islt E-test	Linezolid [Susceptibility] by Gradient strip (E-test)								
	SERO	5352-0	1263	ENA SS-A Ab Ser Ql ID	Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immune diffusion (ID)								
	CHEM	2640-1	1264	Myoglobin Ur Ql	Myoglobin [Presence] in Urine								
	CHEM	2998-3	1265	Vit B1 Bld-mCnc	Thiamine [Mass/volume] in Blood								
	FERT	38544-3	1266	Sperm Pre Wash # Smn	Spermatozoa [#/volume] in Semen --pre washing								
	FERT	38540-1	1267	Sperm Motile Pre Wash NFr Smn	Spermatozoa Motile/100 spermatozoa in Semen --pre washing								
	DRUG/TOX	3746-5	1268	Meperidine Ur Ql	Meperidine [Presence] in Urine								
	CHEM	12195-4	1269	Creat Cl/1.73 sq M 24H Ur+SerPl-ArVRat	Creatinine renal clearance/1.73 sq M in 24 hour								
	CHEM	2218-6	1270	Dopamine 24H Ur-mRate	Dopamine [Mass/time] in 24 hour Urine								
	CHEM	19049-6	1271	Metaneph 24H Ur-mRate	Metanephrine [Mass/time] in 24 hour Urine								
	CHEM	28643-5	1272	SaO2% BldCoV	Oxygen saturation in Venous cord blood								
	MICRO	5057-5	1273	B dermat Ab Titr Ser CF	Blastomyces dermatitidis Ab [Titer] in Serum by Complement fixation								
	ALLERGY	6092-1	1274	Crab IgE Qn	Crab IgE Ab [Units/volume] in Serum								
	SERO	13926-1	1275	GAD65 Ab Ser-aCnc	Glutamate decarboxylase 65 Ab [Units/volume] in Serum								
	CHEM	2513-0	1276	Ketones SerPl Ql	Ketones [Presence] in Serum or Plasma								
	CHEM	2518-9	1277	Lactate BldA-sCnc	Lactate [Moles/volume] in Arterial blood								
